"","subid","session","scan","site","uniqueid","raw","symlink","reorient","mni","site.name","snr","cnr","fber","efc","qi1","fwhm"
"63","0025000",1,2,24,"NYU_org_0025000_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"66","0025000",2,2,24,"NYU_org_0025000_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"73","0025003",1,2,24,"NYU_org_0025003_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"77","0025004",1,2,24,"NYU_org_0025004_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"80","0025004",2,2,24,"NYU_org_0025004_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"83","0025005",1,2,24,"NYU_org_0025005_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"86","0025005",2,2,24,"NYU_org_0025005_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"89","0025006",1,2,24,"NYU_org_0025006_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"93","0025007",1,2,24,"NYU_org_0025007_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"98","0025008",2,2,24,"NYU_org_0025008_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"101","0025009",1,2,24,"NYU_org_0025009_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"104","0025009",2,2,24,"NYU_org_0025009_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"107","0025010",1,2,24,"NYU_org_0025010_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"111","0025011",1,2,24,"NYU_org_0025011_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"118","0025013",2,2,24,"NYU_org_0025013_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"121","0025014",1,2,24,"NYU_org_0025014_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"124","0025014",2,2,24,"NYU_org_0025014_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"129","0025016",1,2,24,"NYU_org_0025016_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"132","0025016",2,2,24,"NYU_org_0025016_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"135","0025017",1,2,24,"NYU_org_0025017_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"142","0025019",2,2,24,"NYU_org_0025019_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"149","0025022",1,2,24,"NYU_org_0025022_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"152","0025022",2,2,24,"NYU_org_0025022_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"155","0025023",1,2,24,"NYU_org_0025023_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"164","0025025",3,2,24,"NYU_org_0025025_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"167","0025026",1,2,24,"NYU_org_0025026_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"171","0025027",1,2,24,"NYU_org_0025027_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"174","0025027",2,2,24,"NYU_org_0025027_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"177","0025028",1,2,24,"NYU_org_0025028_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"180","0025028",2,2,24,"NYU_org_0025028_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"183","0025029",1,2,24,"NYU_org_0025029_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"186","0025029",2,2,24,"NYU_org_0025029_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"189","0025030",1,2,24,"NYU_org_0025030_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"192","0025030",2,2,24,"NYU_org_0025030_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"196","0025031",2,2,24,"NYU_org_0025031_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"199","0025032",1,2,24,"NYU_org_0025032_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"204","0025033",2,2,24,"NYU_org_0025033_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"207","0025034",1,2,24,"NYU_org_0025034_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"210","0025034",2,2,24,"NYU_org_0025034_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"214","0025035",2,2,24,"NYU_org_0025035_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"217","0025036",1,2,24,"NYU_org_0025036_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"221","0025037",1,2,24,"NYU_org_0025037_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"224","0025037",2,2,24,"NYU_org_0025037_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"227","0025038",1,2,24,"NYU_org_0025038_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"231","0025039",1,2,24,"NYU_org_0025039_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"236","0025040",2,2,24,"NYU_org_0025040_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"239","0025041",1,2,24,"NYU_org_0025041_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"242","0025041",2,2,24,"NYU_org_0025041_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"245","0025042",1,2,24,"NYU_org_0025042_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"248","0025042",2,2,24,"NYU_org_0025042_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"252","0025043",2,2,24,"NYU_org_0025043_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"255","0025044",1,2,24,"NYU_org_0025044_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"258","0025044",2,2,24,"NYU_org_0025044_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"261","0025045",1,2,24,"NYU_org_0025045_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"265","0025046",1,2,24,"NYU_org_0025046_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"268","0025046",2,2,24,"NYU_org_0025046_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"271","0025047",1,2,24,"NYU_org_0025047_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"277","0025048",2,2,24,"NYU_org_0025048_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"280","0025049",1,2,24,"NYU_org_0025049_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"283","0025049",2,2,24,"NYU_org_0025049_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"286","0025050",1,2,24,"NYU_org_0025050_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"289","0025050",2,2,24,"NYU_org_0025050_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"293","0025051",2,2,24,"NYU_org_0025051_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"296","0025052",1,2,24,"NYU_org_0025052_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"299","0025052",2,2,24,"NYU_org_0025052_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"302","0025053",1,2,24,"NYU_org_0025053_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"305","0025053",2,2,24,"NYU_org_0025053_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"308","0025054",1,2,24,"NYU_org_0025054_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"311","0025054",2,2,24,"NYU_org_0025054_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"317","0025056",2,2,24,"NYU_org_0025056_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"321","0025057",2,2,24,"NYU_org_0025057_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"324","0025058",1,2,24,"NYU_org_0025058_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"327","0025058",2,2,24,"NYU_org_0025058_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"330","0025059",1,2,24,"NYU_org_0025059_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"334","0025060",1,2,24,"NYU_org_0025060_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"337","0025060",2,2,24,"NYU_org_0025060_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"340","0025061",1,2,24,"NYU_org_0025061_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"343","0025061",2,2,24,"NYU_org_0025061_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"347","0025063",1,2,24,"NYU_org_0025063_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"350","0025064",1,2,24,"NYU_org_0025064_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"353","0025065",1,2,24,"NYU_org_0025065_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"356","0025066",1,2,24,"NYU_org_0025066_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"359","0025067",1,2,24,"NYU_org_0025067_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"366","0025072",1,2,24,"NYU_org_0025072_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"369","0025073",1,2,24,"NYU_org_0025073_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"373","0025075",1,2,24,"NYU_org_0025075_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"376","0025076",1,2,24,"NYU_org_0025076_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"379","0025077",1,2,24,"NYU_org_0025077_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"382","0025078",1,2,24,"NYU_org_0025078_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"385","0025079",1,2,24,"NYU_org_0025079_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"388","0025080",1,2,24,"NYU_org_0025080_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"391","0025081",1,2,24,"NYU_org_0025081_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"394","0025082",1,2,24,"NYU_org_0025082_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"399","0025085",1,2,24,"NYU_org_0025085_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"402","0025086",1,2,24,"NYU_org_0025086_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"406","0025088",1,2,24,"NYU_org_0025088_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"409","0025089",1,2,24,"NYU_org_0025089_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"412","0025090",1,2,24,"NYU_org_0025090_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"415","0025091",1,2,24,"NYU_org_0025091_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"418","0025092",1,2,24,"NYU_org_0025092_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"421","0025093",1,2,24,"NYU_org_0025093_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"424","0025094",1,2,24,"NYU_org_0025094_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"427","0025095",1,2,24,"NYU_org_0025095_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"430","0025096",1,2,24,"NYU_org_0025096_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"434","0025098",1,2,24,"NYU_org_0025098_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"437","0025099",1,2,24,"NYU_org_0025099_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"440","0025100",1,2,24,"NYU_org_0025100_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"443","0025101",1,2,24,"NYU_org_0025101_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"446","0025102",1,2,24,"NYU_org_0025102_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"449","0025103",1,2,24,"NYU_org_0025103_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"452","0025104",1,2,24,"NYU_org_0025104_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"456","0025106",1,2,24,"NYU_org_0025106_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"459","0025107",1,2,24,"NYU_org_0025107_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"462","0025108",1,2,24,"NYU_org_0025108_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"466","0025110",1,2,24,"NYU_org_0025110_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"469","0025111",1,2,24,"NYU_org_0025111_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"472","0025112",1,2,24,"NYU_org_0025112_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"475","0025113",1,2,24,"NYU_org_0025113_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"478","0025114",1,2,24,"NYU_org_0025114_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"481","0025115",1,2,24,"NYU_org_0025115_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"484","0025116",1,2,24,"NYU_org_0025116_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"487","0025117",1,2,24,"NYU_org_0025117_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"490","0025118",1,2,24,"NYU_org_0025118_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"494","0025120",1,2,24,"NYU_org_0025120_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"497","0025121",1,2,24,"NYU_org_0025121_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"500","0025122",1,2,24,"NYU_org_0025122_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"503","0025123",1,2,24,"NYU_org_0025123_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"506","0025124",1,2,24,"NYU_org_0025124_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"511","0025127",1,2,24,"NYU_org_0025127_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"514","0025128",1,2,24,"NYU_org_0025128_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"520","0025132",1,2,24,"NYU_org_0025132_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"524","0025134",1,2,24,"NYU_org_0025134_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"527","0025135",1,2,24,"NYU_org_0025135_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"530","0025136",1,2,24,"NYU_org_0025136_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"533","0025137",1,2,24,"NYU_org_0025137_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"536","0025138",1,2,24,"NYU_org_0025138_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"539","0025139",1,2,24,"NYU_org_0025139_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"542","0025140",1,2,24,"NYU_org_0025140_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"545","0025141",1,2,24,"NYU_org_0025141_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"549","0025143",1,2,24,"NYU_org_0025143_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
