"","subid","session","scan","site","uniqueid","raw","symlink","reorient","mni","site.name","snr","cnr","fber","efc","qi1","fwhm"
"552","0025144",1,2,24,"NYU_org_0025144_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"557","0025147",1,2,24,"NYU_org_0025147_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"560","0025148",1,2,24,"NYU_org_0025148_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"563","0025149",1,2,24,"NYU_org_0025149_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"566","0025150",1,2,24,"NYU_org_0025150_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"569","0025151",1,2,24,"NYU_org_0025151_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"572","0025152",1,2,24,"NYU_org_0025152_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"577","0025155",1,2,24,"NYU_org_0025155_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"580","0025156",1,2,24,"NYU_org_0025156_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"583","0025157",1,2,24,"NYU_org_0025157_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"586","0025158",1,2,24,"NYU_org_0025158_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"589","0025159",1,2,24,"NYU_org_0025159_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"592","0025160",1,2,24,"NYU_org_0025160_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"595","0025161",1,2,24,"NYU_org_0025161_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"598","0025162",1,2,24,"NYU_org_0025162_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"602","0025164",1,2,24,"NYU_org_0025164_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"605","0025165",1,2,24,"NYU_org_0025165_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"608","0025166",1,2,24,"NYU_org_0025166_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"618","0025174",1,2,24,"NYU_org_0025174_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"621","0025175",1,2,24,"NYU_org_0025175_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"625","0025177",1,2,24,"NYU_org_0025177_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"630","0025180",1,2,24,"NYU_org_0025180_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"633","0025181",1,2,24,"NYU_org_0025181_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"636","0025182",1,2,24,"NYU_org_0025182_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"1326","0025474",1,1,30,"iacas_beijing_jiang_0025474_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"IACAS",NA,NA,NA,NA,NA,NA
"1808","0025746",1,1,36,"psychswu_chongqing_qiu_0025746_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"SWU 4",NA,NA,NA,NA,NA,NA
"2372","0026000",3,1,39,"xwhcmu_beijing_li_0026000_session_3_anat_1",TRUE,FALSE,TRUE,TRUE,"XHCUMS",NA,NA,NA,NA,NA,NA
"2422","0026014",2,2,40,"MONTREAL_org_0026014_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2426","0026015",2,2,40,"MONTREAL_org_0026015_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2430","0026016",2,2,40,"MONTREAL_org_0026016_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2442","0026018",2,1,42,"UTAH_org_0026018_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2443","0026019",1,1,42,"UTAH_org_0026019_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2452","0026023",2,1,42,"UTAH_org_0026023_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2453","0026024",1,1,42,"UTAH_org_0026024_session_1_anat_1",TRUE,FALSE,TRUE,FALSE,"Utah 1",NA,NA,NA,NA,NA,NA
"2457","0026026",1,1,42,"UTAH_org_0026026_session_1_anat_1",TRUE,FALSE,TRUE,FALSE,"Utah 1",NA,NA,NA,NA,NA,NA
"2458","0026026",2,1,42,"UTAH_org_0026026_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2460","0026027",2,1,42,"UTAH_org_0026027_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2465","0026030",1,1,42,"UTAH_org_0026030_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2473","0026034",1,1,42,"UTAH_org_0026034_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2474","0026034",2,1,42,"UTAH_org_0026034_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2475","0026035",1,1,42,"UTAH_org_0026035_session_1_anat_1",TRUE,FALSE,TRUE,FALSE,"Utah 1",NA,NA,NA,NA,NA,NA
"2477","0026036",1,1,42,"UTAH_org_0026036_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2482","0026038",2,1,42,"UTAH_org_0026038_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2483","0026039",1,1,42,"UTAH_org_0026039_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2484","0026039",2,1,42,"UTAH_org_0026039_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2491","0026043",1,1,42,"UTAH_org_0026043_session_1_anat_1",TRUE,FALSE,TRUE,TRUE,"Utah 1",NA,NA,NA,NA,NA,NA
"2573","0026122",1,2,45,"MONTREAL_org_0026122_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2579","0026124",1,2,45,"MONTREAL_org_0026124_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2640","0026153",2,2,45,"MONTREAL_org_0026153_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2680","0026172",2,2,45,"MONTREAL_org_0026172_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2690","0026176",2,2,45,"MONTREAL_org_0026176_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"UM",NA,NA,NA,NA,NA,NA
"2745","0027014",1,1,47,"MRN_0027014_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2751","0027016",3,1,47,"MRN_0027016_session_3_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2765","0027023",2,1,47,"MRN_0027023_session_2_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2769","0027026",1,1,47,"MRN_0027026_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2771","0027027",1,1,47,"MRN_0027027_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2783","0027034",1,1,47,"MRN_0027034_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2784","0027034",2,1,47,"MRN_0027034_session_2_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2792","0027039",1,1,47,"MRN_0027039_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2802","0027043",2,1,47,"MRN_0027043_session_2_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2814","0027049",2,1,47,"MRN_0027049_session_2_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2816","0027050",2,1,47,"MRN_0027050_session_2_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2823","0027054",1,1,47,"MRN_0027054_session_1_anat_1",TRUE,FALSE,FALSE,FALSE,"MRN",NA,NA,NA,NA,NA,NA
"2827","0027055",2,1,48,"MRN_0027055_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2830","0027056",2,1,48,"MRN_0027056_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2833","0027057",2,1,48,"MRN_0027057_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2836","0027058",2,1,48,"MRN_0027058_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2839","0027059",2,1,48,"MRN_0027059_session_2_anat_1",TRUE,FALSE,FALSE,FALSE,"BNU 3",NA,NA,NA,NA,NA,NA
"2842","0027060",2,1,48,"MRN_0027060_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2845","0027061",2,1,48,"MRN_0027061_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2848","0027062",2,1,48,"MRN_0027062_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2851","0027063",2,1,48,"MRN_0027063_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"2854","0027064",2,1,48,"MRN_0027064_session_2_anat_1",TRUE,FALSE,TRUE,TRUE,"BNU 3",NA,NA,NA,NA,NA,NA
"3045","0027203",1,2,52,"PSYCHSWU_Chongqing_Chen_0027203_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3048","0027203",2,2,52,"PSYCHSWU_Chongqing_Chen_0027203_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3051","0027203",3,2,52,"PSYCHSWU_Chongqing_Chen_0027203_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3054","0027204",1,2,52,"PSYCHSWU_Chongqing_Chen_0027204_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3057","0027204",2,2,52,"PSYCHSWU_Chongqing_Chen_0027204_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3060","0027204",3,2,52,"PSYCHSWU_Chongqing_Chen_0027204_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3063","0027205",1,2,52,"PSYCHSWU_Chongqing_Chen_0027205_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3066","0027205",2,2,52,"PSYCHSWU_Chongqing_Chen_0027205_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3069","0027205",3,2,52,"PSYCHSWU_Chongqing_Chen_0027205_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3072","0027206",1,2,52,"PSYCHSWU_Chongqing_Chen_0027206_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3075","0027206",2,2,52,"PSYCHSWU_Chongqing_Chen_0027206_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3078","0027206",3,2,52,"PSYCHSWU_Chongqing_Chen_0027206_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3081","0027207",1,2,52,"PSYCHSWU_Chongqing_Chen_0027207_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3084","0027207",2,2,52,"PSYCHSWU_Chongqing_Chen_0027207_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3087","0027207",3,2,52,"PSYCHSWU_Chongqing_Chen_0027207_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3090","0027208",1,2,52,"PSYCHSWU_Chongqing_Chen_0027208_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3093","0027208",2,2,52,"PSYCHSWU_Chongqing_Chen_0027208_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3096","0027208",3,2,52,"PSYCHSWU_Chongqing_Chen_0027208_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3099","0027209",1,2,52,"PSYCHSWU_Chongqing_Chen_0027209_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3102","0027209",2,2,52,"PSYCHSWU_Chongqing_Chen_0027209_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3105","0027209",3,2,52,"PSYCHSWU_Chongqing_Chen_0027209_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3108","0027210",1,2,52,"PSYCHSWU_Chongqing_Chen_0027210_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3111","0027210",2,2,52,"PSYCHSWU_Chongqing_Chen_0027210_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3114","0027210",3,2,52,"PSYCHSWU_Chongqing_Chen_0027210_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3117","0027211",1,2,52,"PSYCHSWU_Chongqing_Chen_0027211_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3120","0027211",2,2,52,"PSYCHSWU_Chongqing_Chen_0027211_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3123","0027211",3,2,52,"PSYCHSWU_Chongqing_Chen_0027211_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3126","0027212",1,2,52,"PSYCHSWU_Chongqing_Chen_0027212_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3129","0027212",2,2,52,"PSYCHSWU_Chongqing_Chen_0027212_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3132","0027212",3,2,52,"PSYCHSWU_Chongqing_Chen_0027212_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3135","0027213",1,2,52,"PSYCHSWU_Chongqing_Chen_0027213_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3138","0027213",2,2,52,"PSYCHSWU_Chongqing_Chen_0027213_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3141","0027213",3,2,52,"PSYCHSWU_Chongqing_Chen_0027213_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3144","0027214",1,2,52,"PSYCHSWU_Chongqing_Chen_0027214_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3147","0027214",2,2,52,"PSYCHSWU_Chongqing_Chen_0027214_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3150","0027214",3,2,52,"PSYCHSWU_Chongqing_Chen_0027214_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3153","0027215",1,2,52,"PSYCHSWU_Chongqing_Chen_0027215_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3156","0027215",2,2,52,"PSYCHSWU_Chongqing_Chen_0027215_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3159","0027215",3,2,52,"PSYCHSWU_Chongqing_Chen_0027215_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3162","0027216",1,2,52,"PSYCHSWU_Chongqing_Chen_0027216_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3165","0027216",2,2,52,"PSYCHSWU_Chongqing_Chen_0027216_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3168","0027216",3,2,52,"PSYCHSWU_Chongqing_Chen_0027216_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3171","0027217",1,2,52,"PSYCHSWU_Chongqing_Chen_0027217_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3174","0027217",2,2,52,"PSYCHSWU_Chongqing_Chen_0027217_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3177","0027217",3,2,52,"PSYCHSWU_Chongqing_Chen_0027217_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3180","0027218",1,2,52,"PSYCHSWU_Chongqing_Chen_0027218_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3183","0027218",2,2,52,"PSYCHSWU_Chongqing_Chen_0027218_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3186","0027218",3,2,52,"PSYCHSWU_Chongqing_Chen_0027218_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3189","0027219",1,2,52,"PSYCHSWU_Chongqing_Chen_0027219_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3192","0027219",2,2,52,"PSYCHSWU_Chongqing_Chen_0027219_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3195","0027219",3,2,52,"PSYCHSWU_Chongqing_Chen_0027219_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3198","0027220",1,2,52,"PSYCHSWU_Chongqing_Chen_0027220_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3201","0027220",2,2,52,"PSYCHSWU_Chongqing_Chen_0027220_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3204","0027220",3,2,52,"PSYCHSWU_Chongqing_Chen_0027220_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3207","0027221",1,2,52,"PSYCHSWU_Chongqing_Chen_0027221_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3210","0027221",2,2,52,"PSYCHSWU_Chongqing_Chen_0027221_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3213","0027221",3,2,52,"PSYCHSWU_Chongqing_Chen_0027221_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3216","0027222",1,2,52,"PSYCHSWU_Chongqing_Chen_0027222_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3219","0027222",2,2,52,"PSYCHSWU_Chongqing_Chen_0027222_session_2_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
"3222","0027222",3,2,52,"PSYCHSWU_Chongqing_Chen_0027222_session_3_anat_2",TRUE,FALSE,FALSE,FALSE,"SWU 1",NA,NA,NA,NA,NA,NA
